IDorder,IDuser,IDbike
884823,959205,251432
117989,351141,842959
720999,997071,414060
299307,144596,927080
398526,602257,319733
871075,266633,417992
491635,931450,920316
139989,666633,761493
783268,598823,351851
559683,991467,263692
122115,457005,185324
705885,488658,729942
690155,602257,671552
279564,694734,996340
619246,604679,186996
158343,957361,776510
630254,508430,234232
184986,270415,552817
304532,355152,954205
600076,338188,666184
909261,783851,488217
926249,534043,850288
196007,491164,148840
542459,708985,848260
429358,742040,791952
461899,237008,699097
880658,652622,854432
257214,740880,991502
552761,154655,554526
267851,737990,827409
372671,891075,289562
112690,668779,812354
659266,443827,311228
646654,943007,241142
359440,459327,487878
685171,786349,422444
641165,686871,422356
963514,154520,414419
391642,714851,383773
425198,200906,202509
401200,637140,478723
842979,258034,123436
793737,903612,520699
204490,886949,664244
812930,539387,761981
467629,238436,825646
283566,625643,227799
382078,272880,885265
833842,750166,486142
150493,715158,798727
891737,315184,110374
523780,123104,465493
224538,752095,816950
926506,234327,721406
932001,547970,629965
335925,539387,122181
754870,347641,597655
953860,121456,379274
837098,155722,883679
197890,463470,148345
304389,351141,547133
139146,109370,327033
644981,821574,831653
573983,384809,908278
366006,147303,587779
685686,625643,288883
260712,267986,148293
763493,155330,408184
489150,173711,483115
172684,198132,749383
858157,744647,972166
653589,390248,893140
935672,278655,787240
320301,674580,458335
221452,455860,611860
303015,214840,825450
720906,539387,710143
329186,190028,309518
112075,815629,325412
838325,491164,928800
953999,991467,767812
319740,932708,723266
992182,209322,380569
941304,449659,205117
887881,587587,957084
321914,656085,216239
752284,429743,202616
117204,356838,574810
347780,921477,310943
109577,800173,659097
605359,521754,760158
153717,853008,654727
477596,234561,672412
480976,397516,964892
295699,712631,255968
448351,195398,385945
321220,594552,571228
244943,644824,514336
892051,328701,832294
530630,857385,702078
412520,378752,153824
462570,851406,403148
111027,602257,491673
325500,628866,599087
840173,757743,418775
482471,359835,557327
290758,982294,253197
429278,757743,667611
457568,132087,782590
865299,569261,194668
209333,437633,758853
630796,975876,535403
872385,464890,883046
690799,732758,611860
947413,451513,263541
930759,215752,173548
435070,501081,421642
827432,231342,456852
603302,369810,455353
272125,196808,688729
325579,257621,335685
822795,854932,509035
637920,823732,443949
782218,365814,261520
217512,173339,112308
484554,127223,739823
380326,809586,273386
639319,883240,128572
604969,705005,466022
885650,127223,858688
314642,719575,934057
244626,419001,543529
545635,861430,375780
711061,760906,922227
329717,467765,821270
203396,780031,692712
497267,529747,344677
505299,849124,392051
724187,609412,889317
253088,880517,469241
960283,217376,157641
678236,574206,352532
413325,668491,194838
447762,437633,135543
514652,180611,506920
375057,460185,808879
258681,127223,209170
100048,607268,798727
107349,593853,171107
135124,892647,428441
278402,175865,504758
817766,779170,528315
843456,585847,301853
318792,306990,777257
635106,970781,306640
403498,631268,991502
825125,859864,675228
591705,726088,735665
680312,844807,644458
888295,666488,156815
795759,428595,264331
135121,775297,927080
426349,394347,730262
693831,968510,583220
194735,687569,900514
265943,162089,423481
506352,937582,549099
514390,109370,634950
821893,352507,260855
977943,754811,506547
414829,765806,131353
178788,542561,224387
970393,986718,512435
396050,304921,293804
784607,375042,668085
912368,770131,615234
526518,786543,848714
643928,122677,907780
737280,884268,995763
305836,965358,204228
832730,715158,461123
181788,761504,265645
331831,263289,893966
161971,279639,268258
957200,398136,211860
923941,199940,319529
889106,959292,858100
933742,629187,984503
394554,371003,188204
917872,996822,854432
123328,644554,613007
115190,963843,175719
345465,801777,442187
496854,101458,614742
666123,914678,507165
793945,926077,679316
924045,497523,277823
255299,408775,549099
363360,979265,784323
573287,900294,596288
285578,534043,373810
101662,447788,549368
569219,754300,246124
923063,290246,414539
769290,310308,335860
721764,486508,381379
638789,213362,832989
237592,990622,146061
757944,227647,786421
134045,795546,947449
829987,702778,557963
207173,542231,403298
530737,488530,634246
178817,205477,907108
580090,725394,265645
407006,536443,270293
160192,950347,683027
412740,921477,856192
547207,826493,851093
783984,733213,497624
348819,155027,283076
948598,797518,147454
705923,754811,230688
519452,166462,325412
183201,330004,908278
210438,388488,654999
762729,463470,867449
553142,569495,180640
802659,380197,401920
193462,181686,598752
196121,212019,436451
646808,200906,763859
262560,175724,782781
651491,145456,878593
875794,403847,488217
231291,262901,776510
967538,988067,561479
315644,378752,117443
841039,408797,119974
258870,685949,446996
447791,142718,719976
395465,837276,270986
615077,696734,159656
714959,408775,599087
871718,174493,754338
816959,942920,858627
848840,925795,726020
296030,716472,975947
764005,139448,551574
